"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LMRKP","Landmark Infrastructure Partners LP","25.05","n/a","n/a","Consumer Services","Real Estate","https://old.nasdaq.com/symbol/lmrkp",
"LE","Lands&#39; End, Inc.","15.25","$497.21M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/le",
"LSTR","Landstar System, Inc.","129.64","$4.98B","1993","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/lstr",
"LTRN","Lantern Pharma Inc.","16.82","$104.58M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ltrn",
"LNTH","Lantheus Holdings, Inc.","13.11","$875.92M","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/lnth",
"LTRX","Lantronix, Inc.","4.38","$123.92M","2000","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/ltrx",
"LRMR","Larimar Therapeutics, Inc.","16.51","$253.53M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lrmr",
"LSCC","Lattice Semiconductor Corporation","28.44","$3.85B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/lscc",
"LAUR","Laureate Education, Inc.","13.16","$2.76B","2017","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/laur",
"LAWS","Lawson Products, Inc.","41.13","$370.51M","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/laws",
"LAZY","Lazydays Holdings, Inc.","13.3","$125.71M","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/lazy",
"LCNB","LCNB Corporation","14.75","$191.4M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/lcnb",
"LPTX","LEAP THERAPEUTICS, INC.","1.91","$113.95M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lptx",
"LEGH","Legacy Housing Corporation","14.6","$353.21M","2018","Basic Industries","Homebuilding","https://old.nasdaq.com/symbol/legh",
"LEGN","Legend Biotech Corporation","33.73","$4.36B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/legn",
"INFR","Legg Mason Global Infrastructure ETF","28.27","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/infr",
"LVHD","Legg Mason Low Volatility High Dividend ETF","30.0799","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lvhd",
"SQLV","Legg Mason Small-Cap Quality Value ETF","23.1653","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/sqlv",
"LACQ","Leisure Acquisition Corp.","10.6572","$66.74M","2017","Finance","Business Services","https://old.nasdaq.com/symbol/lacq",
"LACQU","Leisure Acquisition Corp.","10.55","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/lacqu",
"LACQW","Leisure Acquisition Corp.","0.3937","n/a","2017","Finance","Business Services","https://old.nasdaq.com/symbol/lacqw",
"LMAT","LeMaitre Vascular, Inc.","32.21","$651.52M","2006","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/lmat",
"TREE","LendingTree, Inc.","315.73","$4.14B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/tree",
"LEVL","Level One Bancorp, Inc.","16.1","$124.52M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/levl",
"LEVLP","Level One Bancorp, Inc.","25.4","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/levlp",
"LXRX","Lexicon Pharmaceuticals, Inc.","1.7","$182.08M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lxrx",
"LX","LexinFintech Holdings Ltd.","6.9","$1.25B","2017","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/lx",
"LFAC","LF Capital Acquistion Corp.","10.58","$183.21M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/lfac",
"LFACU","LF Capital Acquistion Corp.","12.2","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/lfacu",
"LFACW","LF Capital Acquistion Corp.","1.77","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/lfacw",
"LGIH","LGI Homes, Inc.","109.71","$2.75B","2013","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/lgih",
"LHCG","LHC Group","202.98","$6.41B","2005","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/lhcg",
"LI","Li Auto Inc.","17.26","$14.44B","2020","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/li",
"LLIT","Lianluo Smart Limited","0.38","$10.94M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/llit",
"LBRDA","Liberty Broadband Corporation","140.21","$25.51B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lbrda",
"LBRDK","Liberty Broadband Corporation","140.81","$25.62B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lbrdk",
"LBTYA","Liberty Global plc","21.79","$12.94B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lbtya",
"LBTYB","Liberty Global plc","21.81","$12.95B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lbtyb",
"LBTYK","Liberty Global plc","21.37","$12.69B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lbtyk",
"LILA","Liberty Latin America Ltd.","7.9","$1.52B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lila",
"LILAK","Liberty Latin America Ltd.","7.8","$1.5B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lilak",
"LILAR","Liberty Latin America Ltd.","0.65","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/lilar",
"BATRA","Liberty Media Corporation","20.51","$1.05B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/batra",
"BATRK","Liberty Media Corporation","20.62","$1.06B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/batrk",
"FWONA","Liberty Media Corporation","34.28","$7.94B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/fwona",
"FWONK","Liberty Media Corporation","37.09","$8.59B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/fwonk",
"LSXMA","Liberty Media Corporation","35.5","$12.19B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/lsxma",
"LSXMB","Liberty Media Corporation","35.17","$12.08B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/lsxmb",
"LSXMK","Liberty Media Corporation","35.68","$12.26B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/lsxmk",
"LTRPA","Liberty TripAdvisor Holdings, Inc.","2.13","$160.01M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ltrpa",
"LTRPB","Liberty TripAdvisor Holdings, Inc.","38.2","$2.87B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ltrpb",
"LSAC","LifeSci Acquisition Corp.","10.22","$83.85M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lsac",
"LSACU","LifeSci Acquisition Corp.","11","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lsacu",
"LSACW","LifeSci Acquisition Corp.","1","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lsacw",
"LCUT","Lifetime Brands, Inc.","10.19","$221.82M","1991","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/lcut",
"LFVN","Lifevantage Corporation","13.16","$188.9M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lfvn",
"LWAY","Lifeway Foods, Inc.","6.57","$102.52M","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/lway",
"LGND","Ligand Pharmaceuticals Incorporated","94.15","$1.51B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lgnd",
"LTBR","Lightbridge Corporation","3.64","$14.4M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/ltbr",
"LPTH","LightPath Technologies, Inc.","2.57","$66.85M","1996","Technology","Semiconductors","https://old.nasdaq.com/symbol/lpth",
"LMB","Limbach Holdings, Inc.","8.89","$70.09M","n/a","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/lmb",
"LLNW","Limelight Networks, Inc.","5.85","$714.12M","2007","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/llnw",
"LMST","Limestone Bancorp, Inc.","10.4","$77.99M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/lmst",
"LMNL","Liminal BioSciences Inc.","12.55","$296.53M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lmnl",
"LMNR","Limoneira Co","14.6","$260.11M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/lmnr",
"LINC","Lincoln Educational Services Corporation","6.65","$175.57M","2005","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/linc",
"LECO","Lincoln Electric Holdings, Inc.","93.39","$5.54B","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/leco",
"LIND","Lindblad Expeditions Holdings Inc. ","10.36","$516.51M","2013","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/lind",
"LGHL","Lion Group Holding Ltd.","2.58","$48.63M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lghl",
"LGHLW","Lion Group Holding Ltd.","0.1","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lghlw",
"LCAPU","Lionheart Acquisition Corp. II","9.99","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/lcapu",
"LPCN","Lipocine Inc.","1.52","$99.84M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lpcn",
"LIQT","LiqTech International, Inc.","7.65","$165.64M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/liqt",
"YVR","Liquid Media Group Ltd.","1.49","$14.89M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/yvr",
"LQDA","Liquidia Technologies, Inc.","5.91","$223.1M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/lqda",
"LQDT","Liquidity Services, Inc.","6.91","$235.25M","2006","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/lqdt",
"LFUS","Littelfuse, Inc.","179.75","$4.38B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/lfus",
"LIVK","LIV Capital Acquisition Corp.","10","$101.33M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/livk",
"LIVKU","LIV Capital Acquisition Corp.","10.14","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/livku",
"LIVKW","LIV Capital Acquisition Corp.","0.4981","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/livkw",
"LIVN","LivaNova PLC","45.36","$2.21B","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/livn",
"LOB","Live Oak Bancshares, Inc.","24.25","$982.93M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/lob",
"LIVE","Live Ventures Incorporated","9.272","$14.86M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/live",
"LPSN","LivePerson, Inc.","47.77","$3.16B","2000","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/lpsn",
"LIVX","LiveXLive Media, Inc.","2.84","$197.16M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/livx",
"LVGO","Livongo Health, Inc.","127.98","$12.68B","2019","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/lvgo",
"LIZI","LIZHI INC.","3.63","$166.48M","2020","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/lizi",
"LKQ","LKQ Corporation","31.61","$9.62B","n/a","Consumer Services","Motor Vehicles","https://old.nasdaq.com/symbol/lkq",
"LMFA","LM Funding America, Inc.","0.5897","$8.62M","2015","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/lmfa",
"LMFAW","LM Funding America, Inc.","0.065","n/a","2015","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/lmfaw",
"LMPX","LMP Automotive Holdings, Inc.","19.72","$195.3M","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/lmpx",
"LOGC","LogicBio Therapeutics, Inc.","6.71","$158.64M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/logc",
"LOGI","Logitech International S.A.","70.47","$11.88B","1997","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/logi",
"CNCR","Loncar Cancer Immunotherapy ETF","28.62","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cncr",
"CHNA","Loncar China BioPharma ETF","31.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chna",
"LONE","Lonestar Resources US Inc.","0.252","$6.42M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/lone",
"LOAC","Longevity Acquisition Corporation","10.7","$28.11M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/loac",
"LOACR","Longevity Acquisition Corporation","0.26","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/loacr",
"LOACU","Longevity Acquisition Corporation","10.5955","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/loacu",
"LOACW","Longevity Acquisition Corporation","0.3299","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/loacw",
"LOOP","Loop Industries, Inc.","13.61","$543.52M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/loop",
"LORL","Loral Space and Communications, Inc.","22.65","$700.63M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/lorl",
"LPLA","LPL Financial Holdings Inc.","78.93","$6.24B","2010","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/lpla",
"LYTS","LSI Industries Inc.","6.9","$181.69M","1985","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/lyts",
"LULU","lululemon athletica inc.","303.11","$39.5B","2007","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/lulu",
"LITE","Lumentum Holdings Inc.","70.89","$5.33B","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/lite",
